Kaizen_title,background,baseline,issue
PO - Kaizen Ramp Up Schedule  Toy HCB99,Ramp Up Schedule,CT tidak balance di beberapa proses,"CT tidak balance di proses release mask, cleaning face, attach earing ct 29s tt 27s dan proses tack head 3x ct 20s,CT tidak balance di proses hand sew top, attach holder arm 2pc dengan menggunakan 2 operator ct 56s & 55s tt 27s dan proses attach top ct 15s,CT tidak balance di proses slot insert atas 4pc, slot insert samping 6pc, slot insert bawah 2pc dengan 2 operator ct 56s & 57s tt 27s dan proses slot body blister to insert ct 21s ,CTtidak balance di proses TTI, doll to IC ct 19s tt 27s dan proses assy doll base, stick, certificate, attach certificate to insert & date code IC ct 29s"
ESP - Improvement 5S dan Safety,PPE proses pembakaran spindel kurang proper berpotensi incident lengan tersengat panas pintu oven,"5S tidak mencapai goal
PPE menggunakan glove yang tidak proper","-Part yang tidak digunakan berada di area sehingga 5S kurang rapi
- PPE tidak proper berpotensi lengan operator tersengat panas oven"
IC - Improvement process Throw data inventory .,data inventory ke Throw ( salah dalam process nge Throw data inventory ),Data inventory tidak accurate,Sering terjadi kesalahan saat proses Trhow saat refresh material karena tidak ada SOP 
PO - Kaizen New Line Toy HCN20,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses date code ic, attach acc scissor & work sheet to inner blister, slot inner blister to insert ct 26s tt 23s dan proses join head, attach shoes attah r/b shoes ct 20s,CT tidak balance di proses pin waist, pin leg ct 18s tt 23s dan proses tack head, attach r/b lap top  & tie to waist barbie ct 25s,CT tinggi di proses dressing, attach shoes, attach r/b juice box to table & chair ct 53s tt 23s menggunakan 2 operator dengan proses yang sama"
Wrong Composition Layer Improvement,Salah penggunaan Layer,"1. Panduan penggunaan Layer yang beragam  potensi salah komposisi  layer.
2. Panduan Part Number Dash Code yang di Print hanya 1 macam padahal running bermacam macam dash code",NULL
PL - Improvement Akurasi Hours vs Headcount,Efficiency BBD & DIJ terlalu rendah,Eff BBD/DIJ 68%,"Excess prosess pada toy HHN08,HHN09,HBY11,HBY20,HCB85,HBX96,HBY09,HBY12 jika DIJ dan Tampo running dishift yang sama, part output DIJ harus dikirim ke staging untuk dscan DSA DIJ kemudian dikirim kembali keproduksi untuk proses Tampo(membutuhkan hours ext,Kebutuhan mesin bor dalam 26 minggu kedepan tidak terprediksi root causenya tidak ada simulasi/capacity planning mesin bor,Kalkulasi effisiensi area BBD/DIJ rendah root causnya hirarki AH BBD/DIJ sebelumnya 170orang Karena proses tampo crown (C03) di area DIJ secara hirarki under leader BBD/DIJ dan EFF masuknya ke area Tampo,Opportunity menaikkan output BBD/DIJ head 800/jam dengan TT 4.5s,Material semi finish berdebu dan area inventory semi finish terlalu luas karena terkena semburan cat dari area spray karena menghadap ke arah spray painting dan inventory terlalu banyak dengan DIL 2 hari dengan BOH 80000"
PO - Kaizen New Line Toy HHB68,New Line,CT tidak balance di beberapa proses,"CT tidak balance di proses grooming 2 operator ct 20s & 19s tt 12s dan proses attach r/b 4 pc to insert ct 16,CT tidak balance di proses date code torso, dressing, attach shoes ct 15s tt 12s dan proses join head, pull back  ct 9s,CT tidak balance di proses pin waist, pin leg ct 9s tt 12s dan proses tie stroller with r/b, attach srtoler to insert with r/b ct 16s,CT tidak balance di proses tack towel 3 titik ct 10s dan proses attack towel baby, slot baby to insert with r/b ct 15s"
EHS West Plant - Wastewater Treatment Plant Improvement,Issue sludge overload,Overload sludge,Issue
Sustainability Data - Solar/Fuel Usage Data,Belum ada pencatatan penggunaan solar untuk genset,Penggunaan solar,"The sustainability form contain the solar consumption data, but the data doesn't provide yet,The level gauge at solar tank only read the percentage of tank volume,The level gauge bolt at solar tank does not fit properly,The level gauge at genset only read the percentage of tank volume,No written guideline to read the solar consumption at solar tank and genset,Insufficient knowledge how to read the level gauge"
PD - Planning Machine Schedule for new toy DIJ,Terlambatnya Schedule dan planning array new toy terhadap mesin DIJ yang sudah ditentukan.,Schedule baru ada seminngu Sebelum PS date,NULL
PD - Plate Color Identification,"Terdapat salah tinta di output  production, dikarenakan simpang siurnya based information untuk ink yang digunakan.","ada banyaknya number informasi ink yang digunakan, ada pada plate, Tampo parameter setting dan pada flowchart.",NULL
TP - Improvement quality dan productivity toy HH013,Down time yang mengakibatkan DSA tidak tercapai dan berdampak ke quality,"DSA mencapai 65% (3300/5200),quality misposisi mencapai 17500 PPM","Misposition mencapai 17500PPM karena1/32 kotor dan plunger rusak 3/32 sehingga saat loading tidak presisi / part miring
,DSA tidak tercapai karena nest kotor sehingga gripper gagal mengambil part
,Rubber pressup jatuh sampai 5x karena jig rotary saat berputar tidak bersamaan (rotary blm pada posisi sempurna tetapi rubber sudah turun )
,Downtime karena gripper nabrak dan gagal ambil part akibat dari stopper tray rusak
"
Review and Reassess Standing Operation Process at FAR & HF,"Standing operation process which categorized as a static standing is required to use anti fatigue mat as a control measure to reduce fatigue. However, according to further review and observation, none of the process at East Plant is really static standing. ,Anti fatigue mat may introduce a greater hazard when the implementation is improper, such as potential slip, trip, and fall.,Other than anti fatigue mat, site can review and decide other control measure based on the Hierarchy Risk Control","Current process which identify as standing process which required anti fatigue mat are standing process at Plastic assembly area, Heat Fusion, FAR, Blister Sealing, Auto Blister, JIT Line, Auto Grooming, Hot Melt Gluing. (Reference: EHS/GL/629 - EHS Procedure ""Use of Anti Fatigue Mat"")","Berdasarkan hasil stand and observe di proses FAR & HF,  berdasarkan hasil interview pada populasi responden diketahui bahwa kedua proses tidak masuk dalam kategori static standing,Anti fatigue mat tidak dalam posisi yang cukup ideal untuk mengcover area pergerakan pekerja FAR, sehingga terdapat bagian kaki yang tidak menginjak mat saat bekerja. ,Berdasarkan interview terhadap responden diketahui bahwa Lantai FAR licin saat terdapat benang jatuh, dengan adanya anti fatigue mat benang lebih terlihat dan mudah diambil. Tanpa anti fatigue mat lantai menjadi licin.,Pekerja mengenali keluhan fatigue pada kaki, penyebab, dan pencegahannya. Misalnya: pekerja paham resiko bekerja pada posisi berdiri di HF ebih lelah dibanding di FAR karena sifat pekerjaan dan mobilisasi selama bekerja. Pekerja mengetahui bahwa bergerak dapat membantu menghilangkan fatigue. Namun pekerja belum memahami gambaran secara umum tindakan pencegahan yang dilakukan tersebut dari perspektif ergonomi,Prosedur mengenai anti fatigue mat dan Risk Assessment belum direview untuk merefleksikan kondisi aktual standing process di FAR dan HF"
DC - Optimize Performance Reclaim,Output dan cycle process Reclaim masih dibawah schedule,Data output dan cycle process vs schedule,"Tidak semua material input reclaim sudah di timbang sehingga operator masih menggunakan perkiraan berat material dengan hitungan bin (hasil tidak akurat)
,Jumlah ashes masih tinggi goalnya 1.5% actualnya 1.8% karena data minggu sebelumya di input di minggu berjalan
,Ada perbedaan perhitungan cycle dari planning (6.5jam) actual 7jam 
,output shift 1 senin tidak jadi output karena proses berlanjut ke shift 2
"
Design Kaizen High Runner Toy GRN27 Series,Toy with high quota,FPR vs Actual Cost,"HPB14 - BRB EXTRA THEMED DOLL - BEACH
,HPB 14 - BRB EXTRA THEMED DOLL - BEACH,HPB 15 - BRB EXTRA FLY THEMED DOLL -DESERT ,HRB16 - BRB EXTRA FLY THEMED FOLL - SNOW,HPT48 - BRB EXTRA FLY THEMED DOLL SAFARI,HNP86 - BRB EXTRA FLY THEMED DOLL - KEN"
SP - PP Kaizen toy HNF84 Booth,Memastikan saat PS berjalan lancar,"Reject scratch paint 1.000.000PPM diawal proses,Reject smear 1.000.000PPM bagian deco 2,Reject gap deco 2 dan deco 3 1.000.000PPM","Reject scratch bagian kanan pada proses deco 2 ditemukan di proses deco 3
Root Cause:
Bagian dalam mask deco 3 (list) mengenai proses sebelumnya (deco 2 sole) karena paint mask press fit agar tidak ada potensi smear paint,Reject Gap diproses paint silver (deco 2 - 3) 1.000.000PPM
Root Cause:
Paint mask sole kurang buka dibagian sebelah kanan,Reject smear diproses sole (deco 3) 1.000.000PPM 
Root Cause:
Mask tidak press fit karena adanya pemakaian jig pada part"
PA - PP kaizen HNF64-9039 Mammoth Assy,Saat Ps tidak ada issue dan lancar,issue gap body dan gap head 10/10,"Gap body 10/10 
material bending ,Gap head saat proses clamping
Material bending 2/10,Hair pop up pada saat di pasang di head
Saat clamping tidak ada alat untuk menahan rambut ke head 10/10,Pemasasngan gading ke head lepas saat proses celup ke diffing nest
Coakan head RR terlalu lebar 2/10,Upper head RR tajam telinga sebelah kiri
mold ada yang tajam"
Auto Cutting Ribbon Process Optimization ,The cutting output is unstable in length and fraying.,"The auto-cutting ribbon machine has several parameters, such as Length, Speed, Temperature, and Compe. Each type of ribbon has a unique parameter.","Different type of fabric has different machine setting,Fraying ribbon,Different length output"
FA - kaizen Newline GDJ37,New line ,"Output di jam pertama 130 actual 50 
Output di jam kedua 260 actual 160
Output di jam ketiga 260 actual 260","CT tidak  balance diproses costum dan join head pasang shoes RL CT nya 18 detik,dengan proses Dressing pants ct 12s
,CT tidak balance di proses  Tie down soap bottle to tab in with rubberband Besar1pc ct 13s
2. Fold tab in, lock tab in to insert 3 flap ct 17 detik,Ct tidak balance di proses pin waist dan Attach bath tube  -a. Pin waist R dan L leg, Bag ct 12s
b. Attach 2 Rb 1 PC to insert, tie down bath tube to insert fold tab in and lock to insert 2x ct :  a. 16s
                        b. 15s,Ditemukan 10/100 come off blister dogs 
-Opt saat join ACC ke blister kurang masuk,Cover pelindung pada hol melt tidak ada-Opt saat proses tangan akan terkena panas "
"Design Kaizen High Runner Toy HLC31,34 Series (3 Mar)",Toy with high quota,FPR vs Actual Cost,"HLC31 - PEGASUS CO-LEAD ASSRT,HLC34 - PEGASUS NEW CHARACTER ASSRT "
Design Kaizen High Runner Toy HNF Series,Toy with high quota,FPR vs Actual Cost,"HNF74 - MH INNO S2D2,HNF75- MH INNO S2D3,HNF76 - MH INNO S2D4 ,HNF77 - MH INNO S2D5,HNF73 - MH INNO S2D1"
PIM - Productivity di toy Door Frame  HLX68,Aktual output berbeda dengan app,50%,"App warna white, aktual output warna pink-Di FC colouran mengatakan white,Satu mold , keluar  2  part dengan bentuk berbeda.dan tempat app berbeda-Bukan mold selector"
PIM - Re layout scdl mesin area conector line U ,"Finding matrial contaminasi antara PP dan acetal yg menyebabkan potensi broken part conector
","Matrial contaminasi regrind PP dan Acetal sebanyak 181 kg
Scrap arm conector broken sebanyak...","Ditemukan matrial contaminasi antara PP dan acetal -Operator tdk faham jenis matrial yg jalan dan penanganan runnernya ,Dalam satu line terdapat scdl dgn berbagai jenis matrial dgn posisi acak-Clusterisasi mesin yg berntakan (sesuai auto DSA),Dalam satu mesin bisa Jalan 2 PN conectr yg berbeda dgn 2 matrial yg berbeda ( TC dari acetal ke PP atau sebaliknya) -Planning yg tepat ,Rapid acetal terlalu dekat dengan mesin yg sedang jalan part nylon , potensi kontaminasi karena ceceran matrial -Scdl mesin yg terlalu berdekatan "
DC - Improve OEE die cast area,OEE not achieve goal,OEE DC achieve 75% from 78% goal,NULL
TA - PP Kaizen Toy HBY16 Torso,PP Kaizen untuk memastikan PS berjalan lancar,"Gap lower leg 150/250,Gap leher ,pundak dan lower di body 100/250,Reject loose hand 50/250","Gap lower leg diposisi knee dan foot karena upper bagian knee lebih tebal ,Reject gap leher ,pundak dan lower di body karena settingan toggle yang tidak pas"
Ic-Improve System Traceability area Die Cut ,Finding traceability tidak terscan ,2 finding part tidak terscan terjadi selama 2022,"Ada beberapa issue yang terjadi di area die cut terkait traceability dan Lkp :
-Salah tempel LKP pada part 
-LKP tidak tercoret 
-LKP BOM blm narik/not responding 
-LKP dan Traceability tidak sesuai "
SP - Improvement quality & prodctivity toy HHN10 Dog Head,Kapasitas beban output pada box berlebih,"Berat output pada box melebihi standar 25KG,Reject smear paint 300,000PPM pada bagian belakang dan samping","Reject smear 300,000PPM setelah proses spray pada bagian belakang bawah telinga dan samping telinga root causenya molded part bending/defoam,Operator kesulitan saat fitting part pada mask root causenya book mask tidak proper dengan molded part,Safety kapasitas output melebihi beban standar packing root causenya total packing terlalu berat dengan quantity 1600pcs dengan berat 25KG sedangkan standar packing 15KG"
FA - Ramp up schedule toy HPL77,Ramp up schedule toy HPL77 dari 1000 ke 1600,CT tidak balance di beberapa proses ,"Operator grooming dengan pemakaian 3 Operator, prosesnya rubberband hair,style hair,earing ,tidak support output per jamnya-Ct masing masing operator grooming dan earing 60 detik,output 180 pc per jam,output yang dibutuhkan 200 pc per jam,Penumpukan di area assy acc 7 macam,visor,bracelet,head band,sunglasses, back pack, shoes RL to blister,pemakaian 3 operator,-Assy acc pemakaian 3 operator Ct masing masing 64 detik,dengan output 168 pc per jam, sedang output yang dibutuhkan 200 pc per ,Penumpukan di area assy dog to arm 2x rubberband to arm,menunggu di proses spot welding -Assy dog to arm, 2x rubberband to arm Ct nya 20 detik
Spot welding Ct nya 13 detik "
FA - Ramp up sch Toy HRF27 ,Ramp up sch toy HRF27 dr 1200 ke 1500,CT tidak balance di beberapa proses ,"Mesin glue hotmel no 26 tidak ada cover nya -Di cover dengan kertas ,Quality
Loos microtek costum 
8300 ppm -Banyak yg lepas kr terkena proses pasang holder arm to blister ,Proses tidak balance di proses costum dan join-Proses date code torso,costum dan shoes CT 20s. Tt 18
Proses join head to  blister CT 15,Proses tidak balance di proses taghead dan selot body -Proses taghead to blister CT 15 TT 18
Proses waisstrap body dan arm  CT 20s,Proses tidak balance di proses tag microtek dan lock insert -Proses microtek to costum CT 14 TT 18
Proses lock insert dan pasang micropack
CT 21s
"
FA - Ramp up schedule toy HBP16 ,Ramp up schedule toy HPB16 dari 1200 ke 1600,CT tidak balance di beberapa proses ,"Tidak balance di area  dressing top,pasang kalung,rubberband kalung, pasang gesper,dengan proses pasang bracelet 2pc,rubberband bracelet -Dressing top,pasang kalung, rubberband kalung, pasang gesper CT 21 detik 
Pasang bracelet 2pc,rubberband bracelet Ct 15 detik,Tidak balance di proses date code IC, doll to insert with blister, rubberband tendril,dengan proses pinwaist arm 1x,pinwaist leg 1x-Date code Ic, doll to insert with blister, rubberband tendril Ct nya 21 detik 
Pinwaist arm and leg,Ct nya 15 detik ,Tidak balance di proses tiket to insert,rubberband insert, dengan proses assy koper, koper to insert with rubberband, waistrap koper -Tiket to insert, rubberband insert  Ct nya 13 detik 
Assy koper, koper to insert with rubberband, waistrap koper CTnya 21 detik "
FA - Kaizen New Line toy HPD40 line F09,New line,"Std hours 40.076, eff 95%","Cover conveyor line F09 lepas-Screwnya lepas,Ct tinggi di proses date code torsp dan dressing ct 14s,  tt 12s dan ct rendah di proses date code IC dan press j hook ct 09s dan tt 12s--,Ct tinggi di proses TTI, slot lock blister to insert kanan, kiri dan atas ct  15s tt 12s dan ct rendah di proses spot welding ct 9s--,Reject mismatch insert 11/300--"
FA - New lLine Toy HLX 27 ,New line ,Line G06,"CT tidak balance diproses datecode insert dengan proses join head -1 operator proses datecode insert, press jihook, pasang ruberband 3 PC CT 21s
1 operator proses join head, tiedown hair to hand,cover hand evastrep CT 30s,CT tidak balance diproses lock asesories dengan proses asesories -1 operator proses pasang brush,teacup,big sleep mask ,small sleep ,bear and book ,pillow and Olaf sliper to iner blister CT 30s
1 operator proses lock asesories 4x CT 22s,CT tidak balance diproses pinwest dengan tiedown upper torso -1 operator proses pinwest Olaf tiedown right soffa CT 20s
2 operator proses evastrep body torso dan evastrep leg CT 30s,CT tidak balance diproses groming dengan date code torso - 3 operator proses basic groming,polibag head ,kepang hair ,crull hair CT 48s
1 operator proses cleaning, datecode torso,pasang skirt, ruberband to torso, pasang shoes, tiedown shoes ruberband CT 29s,Cover jarum pinwest kendor -Cover jarum pinwest tersebut bautny tidak kencang/ kendor sehingga berpotensi si copot dan terkena tangan "
FA - PP Kaizen Toy HJX40,PP Kaizen untuk memastikan PS dapat berjalan lancar,"Excess motion, Unbalance proses","Potensi come off sandals-Sandals lepas saat handling di conveyor, karena shoes di pasang di proses join head dan melewati 2 proses sebelum lock strap sandals to insert. Ct 98s,Excess motion di proses lock strap body blister-Karena terhalang shawl. Ct 111s,Unbalance di proses join, tie down body, creasing & lock body blister, -Opt 1 = joinhead, tag head, attach RL sandals. Ct 66s
Opt 2 = Tie down body to blister w eva strap, Tie down R handw eva strap & tape . Ct 98s
Opt 3 = Creasing insert, Lock body blister to inset, Ct 82s
Opt 4 = Tie down sandals w eva strap, Lock PET arm to insert, Ct 82s
,Kesulitan saat tag head-Pin sering mental dengan pin 9 mm dan bidang blister dalam.,potensi come off acc-Dengan proses  :Attach stick --> Lock lower insert --> lock upper insert-->attach ceriticate & tape"
FA - kaizen New line Toy GDJ40 ,New line.,"Beberapa proses tidak balance (microtag dress,acc to inner blister,date code IC tti).","CT tidak balance di proses date torso + dressing dan shoes dengan rapih rambut.-- Date code torso + dressing + attack shoes total CT = 28 s
- rapih rambut CT =10 s,CT tidak balance di proses tag head 
+ slot skirt to insert dengan  proses pin strapless.-- pin strapless wasit + leg + arm CT = 10 s
- tag head + slot skirt to insert CT = 14 s,CT tidak balance di proses kunci insert dengan date code IC + doll to IC.-- locking insert 4 point CT= 9s
- date code IC + doll to IC locking IC atas - bawah CT= 14s"
FA - PP Kaizen Toy HNF64,PP kaizen untuk memastikan PS dapat berjalan lancar,"Excesse motion, issue messy hair","Excess motion pada tie down tendril , tie down tendril r band di lepas dulu,Messy hair pada tendril, karena jarak ikat tendril dan ponytail 1 1/2"" dari ujung periphery depan- tie down tendril r band di lepas dulu,Messy hair pada tendril, karena jarak ikat tendril dan ponytail 1 1/2"" dari ujung periphery depan,: Berpotensi missing  pada proses ES Snow flake bag-Dengan urutan proses : Elastic staples hair --> Elastic staples snow flake bag, Kesulitan saat proses attach key chain to funny bag,- karena posisi funny bag sudah di lock ke body torso, Unbalancing  di 9907 dan 9908.-proses 9907 : Attach sticker to boba cup, assy boba cup to straw,Attach boba cup, Attach chocolate, Attach ice pop, attach mammonth, tie down mammonth, Ct 56s
Proses 9908 : rubberband fur, tack fur to hanger, Microtack hanger, rubberband fur to blister, attach sunglasess, locking blister to insert. Ct 68s,issue messy hair after join head dan akan tie down tendril, -rambut tersangkut belt , Improper lower hair after drop 5x-rambut bawah tidak ada penahannya, sehingga saat drop posisi rambut jadi berubah"
FA - new line toy HHG52 ,New Line ,Line G05,"CT tidak balance diproses date insert dengan proses tack head -1 operator proses datecode insert, pasang ruberband 3 PC, CT 18s
1 operator proses tackhead, tiedown hair, full back CT 13s,CT tidak balance diproses pinwest bodu dengan pasang acc-1 operator proses join head, pinwest body,CT  12s
1 operator proses Assy ruberband tail to PVC,lock asesories to insert CT 20s,CT tidak balance diproses pasang tail dengan asesories -1 operator proses pinwest arm,pasang ruberband tail to insert CT 28s
1 operator proses Assy asesories neklice,diamond ,kuda laut to blister CT 10s,CT tidak balance diproses TTI lock asesories -1 operator proses lock asesories CT 12s
1operator proses TTI ,reales polibag,tutup doll to blister CT 19s,Partisi blister banyak yang pecah -Potensi tertusuk atau tergores saat membuka atau mengambil blister"
FAR - KAIZEN QUALITY & PRODUCTIFITY IMPROVEMENT TOY HPL76-7309,DSA minus di toy HPL76-7309 & productifity tidak dapet di toy HPL76-7309,Cycle time tidak /tidak sesuai sample ,"Operator kesusahan saat memasukkan P/H ke feeddog (MC 89 toy HGM54-7309)-Karena feeddog gak sesuai dengan ukuran musk /topeng jadi operator susah saat memasukkan P/H ke topeng ,potensi tangan terpeleset dan kena jarum,Banyak ketemu telinga kejahit di toy HHK53-7309, ketemu 5/40-Karena feeddog kurang menahan P/H sehingga saat proses rooting P/H keluar dan telinga jadi kejahit,Container jarum Cell A3 tulisannya rusak /pudar-Karena sudah lama tidak diganti tulisan tsb,,MC 25 toy HPL76-7309 SELALU MINUS DSA NYA -Karena setelah di cek CT actual MC dengan sample beda , di sample CT 86s output 41ea/jam ,Actual MC CT 105s output 34ea/jam ,MC 104 toy HKB09-7309 DSA gak pernah dapet dan banyak reworknya 3/40 ,dan missing stiches bagian belakang periphery-Karena CT actual MC dengan sample berbeda (MC CT 56s dengan output 64ea/jam ) sedangkan di sample CT 53s dengan output 67ea/jam ,,,(bagian crown lebih lambat speednya actual MC dengan sample harusnya 11000 actual MC nya 10000)"
PO - new line toy HJX 96 ,New line,CT tidak balance di beberapa proses,"CT tidak balance diproses jihook dengan proses tackhead - 1 operator proses datecode insert, press jihook, pasang r/b 2 x CT 23""
1 operator proses tack head X2,tie down upper hair CT 15"",CT tidak balance diproses datecode torso dengan join head - 1 operator proses cleaning, datecode torso,attach dress CT 17""
1 operator proses pasang r/b to torso,attach shoes,join head CT 22"",CT tidak balance diproses pinwaist dengan microtek hat - 1 operator proses pinwest body,tanga dan kaki,pasang dan tiedown gift box to head CT 23""
1 operator proses microtek hat to insert CT 10"",Improper microtek hat/ foregermater pin microtek hat - Operator pada saat proses microtek hat tidak ditahan terlebih dahulusehingga mudah lepass dan sisa microtek yg lepas tidak dibuang ,Meja gendog datecode insert dibawah lantai - Meja tersebut berada dibawah kaki operator sehingga bisa menyebabkan kaki operator kepentok"
DC - kaizen pp toy HMH26 & JCB95,PP kaizen untuk memastikan ps berjalan lancar.,"CT tidak balance dibeberapa proses.
Riject / defect","Hasil potong tidak sesuai sample di toy HCB95 4015 / 4016 mismacth 1/8 - Issue matrial bowing, pn 11028 - 60660
Pj wo = 56cm
Act pj bagian tengah variant 58cm 59 cm.,DSA pp tidak tercapai  - Hrs wo dg actual tdk sama.
1.Hrs wo = 7,785 / 1.0 ( narasi )
Act = 12, 822 / 1.0 ( ct narasi sobek.+ with dibagi 2 + merapikan/ menggunting benang )
2. Hrs wo = 17,437
Àct = 18,676 ( cutting & bundling ),Hasil cuting tidak sesuai sample di toy HMH26 pn 4361 bodice, mismacth 1/6 - Matrial bowing eng printing,DSA pp tdk tercapai  - Program blm ready / blm di masukan, pada saat mau jalan pp.,Issue matrial lost  - With wo tdk sama dg actual 
Ditemukan di toy HMH26 pn 11026 - 47894
With wo = 142,24 cm
Act = 140,cm ( hasil cetak wo dan act 44 )"
Kit Master DC / AC,Perhitungan manual kit master DC/AC  untuk digifab  pakai 12-5  sampai  pemakaian level terakhir  sampai Basic Toy,Membutuhkan waktu lama dalam perhitungan digifab dan jika ada selisih antara key punch dengan auditor dihitung ulang,NULL
TA - PP Kaizen Toy HJY33 Crib,PP Kaizen untuk memastikan PS berjalan lancar,"Issue safety karena proses assy manual,Potensi part tercampur dan sama animalnya,Reject broken basket 20/100","Issue safety tangan operator tergores karena proses assy manual,Potensi part animal tercampur karena packing dari molding 3 part number 1 warna sehingga leader kesulitan saat mengambil part (1 set),Reject broken basket karena settingan dan material yang tidak pas"
IC - System Control Hot list Parts ( Parts from Store ),MANUAL REPORT HOT LIST - POTENSI SALAH MEMBUAT REPORT.,MANUAL REPORT ,"- Potensi Hot list terlewat tidak tercatat oleh MH
-Proses Pendataan hotlist masih dilakukan secara manual dengan memeriksa kit issue satu persatu 
-Proses pendataan hotlist memerlukan waktu yang lama "
RC - Improve Quality Toy HLW03 Roto,Ditemukan reject cap missmatch ditoy HLW03,18 dari 24 mold,Reject cap mismatch karena tidak pas sama locating mold
